customer_tweet_id,customer_text,brand_tweet_id,brand_reply,created_at
616,"3 different people have given 3 different answers and I still don't have my order. Says delivered Saturday, was not, I was home all day",618,We'd like to take a further look into this with you! Please reach us by phone or chat here: [URL] ^AG,Tue Oct 31 23:28:00 +0000 2017
623,"Okay, danke für die Info",625,Wir haben zu danken. Schönen Abend noch. ^JS,Tue Oct 31 22:34:32 +0000 2017
627,Yeah this is crazy we’re less than a week away and still no Shipping Information on something that we Pre-ordered back in August,629,Thanks for your patience. ^KM,Wed Nov 01 12:53:34 +0000 2017
634,why is my order at my local courier for the last 6 days and still hasn’t been delivered to me?? Over 1 week late 😡,633,I'm sorry for the wait. Please reach out to us so we can take a closer look at this delivery: [URL] ^SH,Tue Oct 31 22:26:37 +0000 2017
638,Hi ready for some help,637,Were you able to reach us at the link DW provided? ^TR,Tue Oct 31 22:26:07 +0000 2017
640,Is the Echo Show no longer supported?,639,"The Echo Show is supported, please reach us for some live troubleshooting at your convenience: [URL] ^DW",Tue Oct 31 01:09:35 +0000 2017
643,"Bought an @115821 Echo Show and it won’t recognize a single @AmazonHelp account in our household. WTF, guys?",642,"Oh no, I'm sorry for the issues! For troubleshooting, please check out our Echo Help pages here: [URL] ^SG",Tue Oct 31 00:52:39 +0000 2017
646,.@AmazonHelp Item has not been delivered but tracking says it was handed to me over an hour ago... 2nd time this has happened. Sort it out [URL],644,I'm so sorry you didn't receive your parcel! We'd like a chance to look into this with you here: [URL] ^SY,Tue Oct 31 22:25:27 +0000 2017
645,That page is useless - doesn’t allow me to state it hasn’t been delivered; only tells me it has! How can you sort this out?,647,You can also request a call back here Martin [URL] ^KM,Wed Nov 01 08:11:34 +0000 2017
652,Is it possible to prevent AMZL from delivering my packages moving forward? Stuff is either lost/stolen/broken EVERY time.,650,Oh no! We want to hear more about your experience with AMZL. Please provide your feedback here: [URL] ^SH,Tue Oct 31 22:24:47 +0000 2017
651,"I don't want a form to fill out that logs a response no one reads. I want to prevent AMZL from touching my stuff. Possible, or no?",653,"Is there a current order you're having difficulties with? Please let us know, we'd like to help! ^KL",Tue Oct 31 22:52:02 +0000 2017
654,Already started the return. UPS gets it from my doorstep tomorrow. Order 111-5014070-4118645,655,Provide your details here: [URL] and my team will escalate the order to Amazon Logistics for feedback. ^EZ,Tue Oct 31 23:07:33 +0000 2017
657,"Already handled, just venting. It was a pretty big bummer.",656,Let us know if there’s anything else we can do for you! We're happy to help out any way we can! ^FR,Tue Oct 31 22:21:10 +0000 2017
664,"delivery I paid for today,didn’t arrive.why not?i paid enough for it.where is it??I’m unhappy.refund the delivery charge",663,Oh no! Please contact us via phone/chat here: [URL] We're unable to view order details via Twitter. ^KL,Tue Oct 31 22:20:34 +0000 2017
686,Already contacted 3-4 times in the last month. But all I got was assurance that matter is escalated &amp; new status will be provided in 1 day!,684,Please share your details here:[URL] and I'll get back to you. 2/2 ^HD,Tue Oct 31 22:17:00 +0000 2017
685,Details sent. Please check.,687,Thanks for confirming that the details have been shared. Our team will give it a look and reach out shortly. ^AB,Wed Nov 01 05:32:57 +0000 2017
690,Order# 3632693-6196346. You couldn't deliver EVEN AFTER A MONTH. You should be ashamed of yourself.,689,Please report this to our support team here: [URL] and we'll look into this. 2/2 ^HD,Tue Oct 31 21:54:32 +0000 2017
693,since when you stop giving 20% off videogame pre-orders (amazon prime members) im confused? why?,692,We still offer discounts on eligible physical game pre-orders. For further details on Prime benefits: [URL] ^MB,Tue Oct 31 22:16:00 +0000 2017
1693,but I can’t find the options to cancel or re-order?,1696,I'm sorry for the delay! We'd like to take a further look into this with you! Please reach us here: [URL] ^AG,Tue Oct 31 22:58:00 +0000 2017
1699,I called customer service and was told my membership wouldn't be renewed. I was just charged today. How do I get a refund? [URL],1697,Canceling your Prime membership can be done here:[URL] You'll be shown your estimated refund there. ^SK,Tue Oct 31 22:42:00 +0000 2017
1698,Thats the thing I told customer service. I created a new email address for the Prime trial and forgot it. What can I do so I'm not charged?,1700,Hey Corey! Even on the new account you made you can turn of the auto renew through the same link ^SK posted for you. ^AJ,Tue Oct 31 22:52:33 +0000 2017
1701,You have to log in. I don't remember the email address I used. Can you look up the account by my bank information?,1704,It would be best if you get in touch with us by phone or chat.use this link to do so: [URL] ^CH,Tue Oct 31 23:06:00 +0000 2017
1706,"I have tried. It’s not allowing me to access my account to cancel my membership, I haven’t even used prime in almost 3 months.",1705,I'm sorry to hear you're not able to access your account. Please use this link instead to contact us: [URL] ^LH,Tue Oct 31 22:42:00 +0000 2017
1710,where can I chat with a support member for a false charge,1709,I'm sorry you've encountered an unknown charge! We'd be happy to look into this with you here: [URL] ^BL,Tue Oct 31 22:41:11 +0000 2017
1713,if I add another adult to my Amazon household (with their own account) can they see my wishlists/photos/order history?,1711,Thanks for reaching out to us! You can find info on adding household members here: [URL] ^MO,Tue Oct 31 22:41:00 +0000 2017
1717,"My package just got here. All good, thank you!",1719,"Thank you for keeping us posted, Rachael! ^BA",Tue Oct 31 22:44:33 +0000 2017
1721,Never got the beta and now I’m being told I won’t get ANY of the other stuff. Including Last Jedi content and or bonus classes. Anything! :(,1723,"We'd like to see what we can do to help. What date did you place the order on, and which version did you order? ^MB",Tue Oct 31 22:47:28 +0000 2017
1724,Deluxe edition on September 16th. It definitely had the pre orders on the profile because that’s why I ordered. Also why I paid for Prime..,1725,Could you link us to the page of the item on our website? This will allow us to take a closer look at all options. ^VB,Tue Oct 31 23:04:01 +0000 2017
1726,Star Wars Battlefront 2 Elite Trooper Deluxe Edition Playstation 4 [URL] preorder info is in description. Thanks for help,1727,Thanks for the link. We are not a participating retailer to receive the bonus content. Details: [URL] ^BE,Tue Oct 31 23:31:00 +0000 2017
1736,Two fake items in one day. Time to cancel my Amazon Prime membership. @AmazonHelp,1734,Oh no! I'm so sorry to hear this. Was the item sold by Amazon directly or Third-party seller: [URL] ^LH,Tue Oct 31 22:35:00 +0000 2017
1735,"Fulfilled by Amazon. It’s quite disturbing you’re selling counterfeit items, and can’t be trusted.",1737,"We'd like to look into this with you in real time, Bry. When you can, please ring or chat in with us: [URL] ^BL",Tue Oct 31 22:47:00 +0000 2017
